playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated
36,24,8,7.0,24217,Artem Dovbyk,Artem,Dovbyk,1997-06-21,Ukraine,Centre-Forward,,7.0,2024-08-12T11:57:15Z,298,Girona FC,Girona,GIR,https://crests.football-data.org/298.png,"Avinguda de Montilivi, 141 Girona 17003",http://www.gironafc.cat,1930,Red / White / Blue,Estadi Municipal de Montilivi,2022-08-16T12:47:06Z
35,23,6,,8167,Alexander Sørloth,Alexander,Sørloth,1995-12-05,Norway,Centre-Forward,,,2024-08-12T11:57:14Z,94,Villarreal CF,Villarreal,VIL,https://crests.football-data.org/94.png,"Camino Miralcamp, s/n Villarreal 12540",http://www.villarrealcf.es,1923,Yellow / Blue,Estadio de la Cerámica,2022-02-22T18:26:04Z
32,19,6,1.0,125010,Jude Bellingham,Jude,Bellingham,2003-06-29,England,Attacking Midfield,,,2024-08-12T11:57:14Z,86,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png,"Avenida Concha Espina, 1 Madrid 28036",http://www.realmadrid.com,1902,White / Purple,Estadio Santiago Bernabéu,2022-02-19T08:59:31Z
35,19,8,4.0,371,Robert Lewandowski,Robert,Lewandowski,1988-08-21,Poland,Centre-Forward,,,2024-08-12T11:57:14Z,81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,Avenida Arístides Maillol s/n Barcelona 08028,http://www.fcbarcelona.com,1899,Red / Navy Blue / Orange,Camp Nou,2024-07-29T17:09:22Z
34,17,2,3.0,2237,Ante Budimir,Ante,Budimir,1991-07-22,Croatia,Centre-Forward,,,2024-08-12T11:57:14Z,79,CA Osasuna,Osasuna,OSA,https://crests.football-data.org/79.png,"Calle del Sadar, s/n Pamplona 31006",http://www.osasuna.es,1920,Red / Navy Blue,Estadio El Sadar,2024-07-29T17:09:06Z
33,16,2,1.0,32836,Youssef En-Nesyri,Youssef,En-Nesyri,1997-06-01,Morocco,Centre-Forward,,,2024-10-04T09:41:46Z,559,Sevilla FC,Sevilla FC,SEV,https://crests.football-data.org/559.png,"Calle Sevilla Fútbol Club, s/n Sevilla 41005",http://www.sevillafc.es,1905,White / Red,Estadio Ramón Sánchez Pizjuán,2024-07-29T17:09:57Z
34,16,6,4.0,114,Antoine Griezmann,Antoine,Griezmann,1991-03-21,France,Centre-Forward,,,2024-08-12T11:57:14Z,78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,"Paseo Virgen del Puerto, 67 Madrid 28005",http://www.clubatleticodemadrid.com,1903,Red / White / Blue,Estadio Wanda Metropolitano,2024-07-29T17:08:58Z
34,15,2,,7819,Álvaro Morata,,Álvaro Morata,1992-10-23,Spain,Centre-Forward,,,2024-08-12T11:57:14Z,78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,"Paseo Virgen del Puerto, 67 Madrid 28005",http://www.clubatleticodemadrid.com,1903,Red / White / Blue,Estadio Wanda Metropolitano,2024-07-29T17:08:58Z
29,15,6,1.0,1556,Vinicius Junior,,Vinícius Junior,2000-07-12,Brazil,Left Winger,,,2024-08-12T11:57:14Z,86,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png,"Avenida Concha Espina, 1 Madrid 28036",http://www.realmadrid.com,1902,White / Purple,Estadio Santiago Bernabéu,2022-02-19T08:59:31Z
27,15,1,4.0,69,Borja Mayoral,,Borja Mayoral,1997-04-05,Spain,Centre-Forward,,,2024-08-12T11:57:14Z,82,Getafe CF,Getafe,GET,https://crests.football-data.org/82.png,"Avenida Teresa de Calcuta, s/n Getafe 28903",http://www.getafecf.com,1946,Blue / White,Coliseum Alfonso Pérez,2022-02-25T16:43:35Z
